????,??/?,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,???,??/?
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,5,101,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,5,101,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
